Z   A   EL  Binding Energy 
40  92  Zr  8692.6783
41  92  Nb  8662.3731
42  92  Mo  8657.7312
43  92  Tc  8563.544
44  92  Ru  8504.774
45  92  Rh  8373.4211
46  92  Pd  8275.5695
47  92  Ag  8080#
34  93  Se  8225#
35  93  Br  8345.5986
36  93  Kr  8458.1085
37  93  Rb  8540.9209
38  93  Sr  8612.7875
39  93  Y   8648.9054
40  93  Zr  8671.6207
41  93  Nb  8664.1849
42  93  Mo  8651.4095
43  93  Tc  8608.5782
44  93  Ru  8531.4627
45  93  Rh  8434.8255
46  93  Pd  8318.5637
47  93  Ag  8175#
34  94  Se  8180#
35  94  Br  8287#
36  94  Kr  8424.3318
37  94  Rb  8492.7644
38  94  Sr  8593.8344
39  94  Y   8622.8068
40  94  Zr  8666.8016
41  94  Nb  8648.9014
42  94  Mo  8662.3341
43  94  Tc  8608.7373
44  94  Ru  8583.662
45  94  Rh  8472.4033
46  94  Pd  8391.6832
47  94  Ag  8238#
48  94  Cd  8102#
34  95  Se  8112#
35  95  Br  8245#
36  95  Kr  8365.9963
37  95  Rb  8460.1967
38  95  Sr  8549.0875
39  95  Y   8604.9644
40  95  Zr  8643.5924
41  95  Nb  8647.2133
42  95  Mo  8648.7212
43  95  Tc  8622.6911
44  95  Ru  8587.4706
45  95  Rh  8525.3707
46  95  Pd  8428.9807
47  95  Ag  8315#
48  95  Cd  8171#
35  96  Br  8184#
36  96  Kr  8330.8721
37  96  Rb  8408.8963
38  96  Sr  8521.2041
39  96  Y   8569.4269
40  96  Zr  8635.3283
41  96  Nb  8628.8868
42  96  Mo  8653.988
43  96  Tc  8614.8673
44  96  Ru  8609.413
45  96  Rh  8534.6735
46  96  Pd  8490.0207
47  96  Ag  8360.2903
48  96  Cd  8259#
49  96  In  8069#
35  97  Br  8140#
36  97  Kr  8269.8645
37  97  Rb  8376.1872
38  97  Sr  8471.8489
39  97  Y   8541.4616
40  97  Zr  8603.7182
41  97  Nb  8623.1384
42  97  Mo  8635.0926
43  97  Tc  8623.7254
44  97  Ru  8604.2799
45  97  Rh  8559.8949
