Q2,xBj,sigma,d stat,d uncor,d cor,d rel,d p,d had,d 1,d 2,d 3,d 4,d tot
2.7,0.500x10-2,0.453,0.74,1.82,1.43,0.53,-0.32,0.43,-0.84,0.01,0.01,0.12,2.69
2.7,0.200x10-1,0.345,2.54,2.45,7.41,-0.3,-1.28,0.77,3.85,-0.01,-0.04,0.08,9.2
3.5,0.406x10-4,0.806,6.14,4.17,1.18,1.09,-0.25,-0.46,-0.04,-0.75,-0.01,-0.15,7.65
3.5,0.432x10-4,0.881,3.08,2.83,3.31,0.7,-4.07,0.56,-2.62,-0.18,-0.01,-0.05,7.26
3.5,0.460x10-4,0.965,3.05,2.99,1.1,0.35,-0.21,-0.41,-0.05,-0.15,-0.01,-0.22,4.45
3.5,0.512x10-4,0.94,2.16,2.25,1.53,0.52,-1.61,0.05,-1.16,-0.07,0.01,0.01,4.04
3.5,0.531x10-4,0.88,3.1,2.64,0.91,0.48,-0.2,-0.3,-0.03,-0.01,-0.01,-0.21,4.22
3.5,0.800x10-4,0.952,1.25,1.55,0.88,0.43,-0.26,-0.09,-0.08,-0.09,0.01,0.03,2.24
3.5,0.130x10-3,0.918,0.66,0.86,0.8,0.45,-0.13,-0.28,0.18,0,0.02,0.06,1.46
3.5,0.200x10-3,0.854,0.68,0.83,0.81,0.44,0.09,-0.22,0.26,0,0.01,0.08,1.46
3.5,0.320x10-3,0.791,0.72,0.88,0.86,0.5,-0.21,-0.01,0.11,0,0.01,0.07,1.53
3.5,0.500x10-3,0.749,0.76,1.17,0.89,0.37,-0.23,-0.26,0.3,0,0.03,0.05,1.75
3.5,0.800x10-3,0.659,0.67,1.16,0.91,0.37,0.15,-0.17,0.2,0,0.03,0.05,1.69
3.5,0.130x10-2,0.623,0.87,1.38,0.97,0.42,-0.27,0,0.12,0,0.02,0.07,1.96
3.5,0.200x10-2,0.568,0.51,0.87,0.85,0.44,-0.11,-0.16,-0.02,0.01,0.02,0.11,1.41
3.5,0.800x10-2,0.462,0.59,1.12,1.11,0.45,-0.15,-0.36,-0.48,0.01,-0.02,0.21,1.86
4.5,0.522x10-4,0.916,6.4,4.13,1.2,1.15,-0.29,-0.48,-0.05,-1.15,-0.01,-0.11,7.9
4.5,0.592x10-4,0.971,2.84,2.87,1.01,0.56,-0.23,-0.46,-0.05,-0.43,-0.01,-0.19,4.26
4.5,0.618x10-4,0.97,2.97,2.73,2.94,1,-3.82,-0.9,-2.59,-0.18,0,0.03,6.93
4.5,0.683x10-4,1.08,1.67,2.23,0.98,0.7,-0.23,-0.33,-0.05,-0.33,-0.01,-0.17,3.08
4.5,0.732x10-4,1.019,1.6,2.21,1.1,0.43,-0.8,0.04,-0.67,-0.04,0.01,0.01,3.15
4.5,0.818x10-4,1.08,10.38,11.67,1.17,0.69,-0.2,-0.2,-0.03,-0.08,0.02,-0.09,15.69
4.5,0.130x10-3,1.02,1.2,0.91,0.81,0.55,-0.32,-0.19,-0.02,-0.1,0.04,-0.02,1.84
4.5,0.200x10-3,0.961,0.74,0.91,0.83,0.51,0,-0.3,0.32,0.01,0.01,0.05,1.58
4.5,0.320x10-3,0.893,0.8,0.96,0.79,0.35,-0.01,-0.23,0.03,0,0.02,0.08,1.54
4.5,0.500x10-3,0.797,0.83,0.89,0.86,0.56,-0.01,-0.27,0.06,0,0.02,0.08,1.61
